nominal,data,curs,cdx
1,01-01-2020,61.9057,Доллар США
1,10-01-2020,61.2340,Доллар США
1,11-01-2020,61.2632,Доллар США
1,14-01-2020,60.9474,Доллар США
1,15-01-2020,61.4140,Доллар США
1,16-01-2020,61.4328,Доллар США
1,17-01-2020,61.5694,Доллар США
1,18-01-2020,61.5333,Доллар США
1,21-01-2020,61.4654,Доллар США
1,22-01-2020,61.8552,Доллар США
1,23-01-2020,61.8343,Доллар США
1,24-01-2020,61.9515,Доллар США
1,25-01-2020,61.8031,Доллар США
1,28-01-2020,62.3380,Доллар США
1,29-01-2020,62.8299,Доллар США
1,30-01-2020,62.3934,Доллар США
1,31-01-2020,63.0359,Доллар США
1,01-02-2020,63.1385,Доллар США
1,04-02-2020,63.9091,Доллар США
1,05-02-2020,63.4342,Доллар США
1,06-02-2020,63.1742,Доллар США
1,07-02-2020,62.7977,Доллар США
1,08-02-2020,63.4720,Доллар США
1,11-02-2020,63.7708,Доллар США
1,12-02-2020,63.9490,Доллар США
1,13-02-2020,63.0470,Доллар США
1,14-02-2020,63.6016,Доллар США
1,15-02-2020,63.4536,Доллар США
1,18-02-2020,63.3085,Доллар США
1,19-02-2020,63.7698,Доллар США
1,20-02-2020,63.6873,Доллар США
1,21-02-2020,63.7413,Доллар США
1,22-02-2020,64.3008,Доллар США
1,26-02-2020,64.9213,Доллар США
1,27-02-2020,65.5177,Доллар США
1,28-02-2020,65.6097,Доллар США
1,29-02-2020,66.9909,Доллар США
1,03-03-2020,66.3274,Доллар США
1,04-03-2020,66.4437,Доллар США
1,05-03-2020,66.0784,Доллар США
1,06-03-2020,66.1854,Доллар США
1,07-03-2020,67.5175,Доллар США
1,11-03-2020,72.0208,Доллар США
1,12-03-2020,71.4720,Доллар США
1,13-03-2020,74.0274,Доллар США
1,14-03-2020,73.1882,Доллар США
1,17-03-2020,74.1262,Доллар США
1,18-03-2020,73.8896,Доллар США
1,19-03-2020,77.2131,Доллар США
1,20-03-2020,80.1570,Доллар США
1,21-03-2020,78.0443,Доллар США
1,24-03-2020,80.8815,Доллар США
1,25-03-2020,78.8493,Доллар США
1,26-03-2020,77.7928,Доллар США
1,27-03-2020,78.7223,Доллар США
1,28-03-2020,77.7325,Доллар США
1,07-04-2020,76.4074,Доллар США
