nominal,data,curs,cdx
1,23-11-2018,65.6067,Доллар США
1,24-11-2018,65.6664,Доллар США
1,27-11-2018,66.5072,Доллар США
1,28-11-2018,66.7800,Доллар США
1,29-11-2018,66.9436,Доллар США
1,30-11-2018,66.6342,Доллар США
1,01-12-2018,66.5335,Доллар США
1,04-12-2018,66.2921,Доллар США
1,05-12-2018,66.4467,Доллар США
1,06-12-2018,66.8242,Доллар США
1,07-12-2018,66.7377,Доллар США
1,08-12-2018,66.9227,Доллар США
1,11-12-2018,66.2416,Доллар США
1,12-12-2018,66.5022,Доллар США
1,13-12-2018,66.4225,Доллар США
1,14-12-2018,66.2550,Доллар США
1,15-12-2018,66.4337,Доллар США
1,18-12-2018,66.6208,Доллар США
1,19-12-2018,66.7454,Доллар США
1,20-12-2018,67.1121,Доллар США
1,21-12-2018,67.3710,Доллар США
1,22-12-2018,68.0085,Доллар США
1,25-12-2018,68.4073,Доллар США
1,26-12-2018,68.7448,Доллар США
1,27-12-2018,68.8865,Доллар США
1,28-12-2018,68.8762,Доллар США
1,29-12-2018,69.5218,Доллар США
1,30-12-2018,69.4706,Доллар США
